
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[5080,0,[0,0,0],[-0.032529,0.017562,0.041386],[-0.137293,0.451106,-0.098067],[0.392423,-0.141177,9.815358],[-0.040000,-0.090000,-0.028571],[-92,201,331]]
DATA[5130,0,[0,0,0],[-0.036805,0.015424,0.040928],[-0.098067,0.431493,10.061623],[0.363709,-0.165105,9.801002],[-0.037273,-0.094545,-0.032653],[-92,193,333]]
DATA[5180,0,[0,0,0],[-0.036805,0.012217,0.039401],[-0.117680,0.411879,10.100849],[0.382852,-0.117248,9.820144],[-0.039091,-0.097273,-0.026531],[-92,191,339]]
DATA[5240,0,[0,0,0],[-0.038943,0.007789,0.045051],[-0.137293,0.431493,10.179303],[0.373280,-0.155533,9.810573],[-0.040909,-0.094545,-0.029592],[-95,189,322]]
DATA[5300,0,[0,0,0],[-0.029322,0.011301,0.041539],[-0.274586,0.431493,-0.078453],[0.351745,-0.160319,9.834501],[-0.037273,-0.091818,-0.031633],[-92,195,335]]
DATA[5350,0,[0,0,0],[-0.033750,0.016646,0.039401],[-0.215746,0.431493,10.120462],[0.339781,-0.169890,9.834501],[-0.038182,-0.097273,-0.028571],[-91,189,329]]
DATA[5410,0,[0,0,0],[-0.035888,0.016341,0.041692],[-0.196133,0.431493,-0.156906],[0.346959,-0.112463,9.762716],[-0.039091,-0.097273,-0.023469],[-85,198,322]]
DATA[5460,0,[0,0,0],[-0.032834,0.010232,0.040470],[-0.196133,0.431493,10.179303],[0.351745,-0.160319,9.810573],[-0.042727,-0.093636,-0.027551],[-93,193,326]]
DATA[5510,0,[0,0,0],[-0.031765,0.012828,0.044135],[-0.215746,0.451106,10.159690],[0.380459,-0.155533,9.829716],[-0.040000,-0.098182,-0.027551],[-91,201,321]]
DATA[5570,0,[0,0,0],[-0.036957,0.015119,0.039859],[-0.176520,0.392266,-0.137293],[0.349352,-0.117248,9.815358],[-0.038182,-0.098182,-0.028571],[-95,192,323]]
DATA[5620,0,[0,0,0],[-0.034361,0.012065,0.041844],[-0.235360,0.353039,-0.156906],[0.366102,-0.169890,9.796216],[-0.040909,-0.097273,-0.026531],[-94,197,333]]
DATA[5680,0,[0,0,0],[-0.027336,0.015272,0.039706],[-0.215746,0.392266,10.100849],[0.351745,-0.136391,9.820144],[-0.041818,-0.092727,-0.030612],[-94,197,330]]
DATA[5740,0,[0,0,0],[-0.034667,0.015577,0.041539],[-0.117680,-0.137293,10.159690],[0.368495,-0.136391,9.796216],[-0.036364,-0.096364,-0.029592],[-90,196,328]]
DATA[5790,0,[0,0,0],[-0.038943,0.014355,0.044440],[-0.137293,0.411879,10.159690],[0.356531,-0.136391,9.796216],[-0.041818,-0.099091,-0.026531],[-92,200,329]]
DATA[5840,0,[0,0,0],[-0.034819,0.016952,-0.000916],[-0.235360,0.411879,10.140077],[0.380459,-0.169890,9.815358],[-0.040909,-0.091818,-0.027551],[-85,196,332]]
DATA[5910,0,[0,0,0],[-0.030543,0.015272,0.042150],[-0.215746,0.392266,10.179303],[0.337388,-0.078963,9.777073],[-0.040000,-0.096364,-0.024490],[-83,206,344]]
