
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2710,0,[0,0,0],[-0.000764,0.015424,0.042302],[-0.137293,0.451106,10.140077],[0.342174,-0.145962,9.801002],[-0.039091,-0.097273,-0.027551],[-90,192,344]]
DATA[2750,0,[0,0,0],[-0.034514,0.014966,0.045051],[-0.156906,0.392266,10.179303],[0.368495,-0.145962,9.834501],[-0.037273,-0.096364,-0.029592],[-90,192,340]]
DATA[2790,0,[0,0,0],[-0.034819,0.007178,0.045051],[-0.196133,0.411879,-0.137293],[0.356531,-0.102891,9.824930],[-0.038182,-0.098182,-0.024490],[-89,199,334]]
DATA[2840,0,[0,0,0],[-0.038179,0.014050,-0.000305],[-0.117680,0.451106,10.159690],[0.378066,-0.122034,9.839287],[-0.040000,-0.088182,-0.029592],[-92,196,334]]
DATA[2870,0,[0,0,0],[-0.033139,0.015424,0.044135],[-0.156906,0.392266,10.081236],[0.380459,-0.141177,9.848858],[-0.038182,-0.099091,-0.024490],[-89,199,333]]
DATA[2910,0,[0,0,0],[-0.038026,0.013744,0.042302],[-0.235360,0.411879,10.159690],[0.349352,-0.141177,9.815358],[-0.038182,-0.093636,-0.031633],[-92,193,338]]
DATA[2960,0,[0,0,0],[-0.038485,0.010537,0.041386],[-0.196133,0.431493,-0.137293],[0.380459,-0.107677,9.810573],[-0.033636,-0.100000,-0.025510],[-90,193,341]]
DATA[3000,0,[0,0,0],[-0.037415,0.013286,0.044135],[-0.176520,0.411879,10.140077],[0.368495,-0.155533,9.801002],[-0.040000,-0.090909,-0.030612],[-87,194,340]]
DATA[3030,0,[0,0,0],[-0.037263,0.016035,0.043066],[-0.137293,0.451106,-0.156906],[0.380459,-0.174676,9.810573],[-0.036364,-0.100909,-0.026531],[-87,193,326]]
DATA[3080,0,[0,0,0],[-0.039095,0.013134,0.047037],[-0.235360,0.411879,-0.117680],[0.370888,-0.160319,9.781859],[-0.039091,-0.096364,-0.028571],[-87,185,335]]
DATA[3120,0,[0,0,0],[-0.037721,0.016341,0.042455],[-0.137293,0.431493,10.140077],[0.366102,-0.122034,9.805787],[-0.036364,-0.094545,-0.030612],[-92,189,329]]
DATA[3160,0,[0,0,0],[-0.000764,0.015882,0.042150],[-0.156906,0.431493,10.159690],[0.366102,-0.131605,9.815358],[-0.040909,-0.091818,-0.026531],[-89,190,330]]
DATA[3200,0,[0,0,0],[-0.036194,0.013286,0.041386],[-0.137293,0.431493,-0.117680],[0.363709,-0.122034,9.820144],[-0.037273,-0.091818,-0.029592],[-89,191,333]]
DATA[3240,0,[0,0,0],[-0.037568,0.011454,0.044135],[-0.137293,0.431493,10.120462],[0.378066,-0.141177,9.815358],[-0.038182,-0.098182,-0.026531],[-91,189,336]]
DATA[3280,0,[0,0,0],[-0.036652,0.013744,0.042608],[-0.215746,0.451106,-0.156906],[0.368495,-0.150748,9.805787],[-0.040000,-0.090909,-0.028571],[-92,191,323]]
DATA[3320,0,[0,0,0],[-0.030238,0.015119,0.045815],[-0.156906,0.451106,-0.156906],[0.385244,-0.160319,9.834501],[-0.036364,-0.100909,-0.027551],[-89,192,343]]
DATA[3360,0,[0,0,0],[-0.035888,-0.018784,0.040470],[-0.156906,-0.137293,10.179303],[0.351745,-0.160319,9.781859],[-0.039091,-0.092727,-0.028571],[-85,194,336]]
