
Thu Jan  1 00:14:41 1970

Flight Log #18
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[13110, 0, [0,0,0], [-0.018021, 0.010843, -0.007330], [-4.000000, -8.000000, 1072.000000], [0.043071, -0.145962, 9.777073], [0.008182, -0.069091, -0.479592], [-301, -36, 372]]
DATA[13300, 0, [0,0,0], [-0.024129, 0.014050, -0.005956], [-28.000000, -16.000000, 1056.000000], [0.016750, -0.131605, 9.777073], [0.016364, -0.072727, -0.478571], [-306, -36, 367]]
DATA[13500, 0, [0,0,0], [-0.026725, 0.010843, -0.005345], [-8.000000, -4.000000, 1072.000000], [0.011964, -0.155533, 9.824930], [0.015455, -0.069091, -0.480612], [-310, -40, 356]]
DATA[13700, 0, [0,0,0], [-0.022297, 0.009468, -0.003512], [-8.000000, 0.000000, 1072.000000], [0.050249, -0.122034, 9.824930], [0.012727, -0.072727, -0.477551], [-308, -42, 373]]
DATA[13900, 0, [0,0,0], [-0.025809, 0.011759, -0.003665], [-32.000000, -4.000000, -4.000000], [0.038285, -0.126820, 9.834501], [0.019091, -0.074545, -0.480612], [-304, -34, 360]]
DATA[14100, 0, [0,0,0], [-0.022297, 0.013286, -0.010079], [-8.000000, -4.000000, 1056.000000], [0.045464, -0.122034, 9.829716], [0.014545, -0.072727, -0.479592], [-301, -32, 353]]
DATA[14300, 0, [0,0,0], [-0.024435, 0.013897, -0.009316], [-28.000000, -8.000000, -8.000000], [0.059821, -0.141177, 9.839287], [0.007273, -0.068182, -0.480612], [-306, -43, 352]]
DATA[14490, 0, [0,0,0], [-0.018173, 0.010996, -0.009927], [-28.000000, -12.000000, 1060.000000], [-0.004786, -0.122034, 9.815358], [0.013636, -0.071818, -0.477551], [-309, -39, 360]]
DATA[14690, 0, [0,0,0], [-0.018937, 0.014661, -0.005956], [-32.000000, -16.000000, -8.000000], [0.043071, -0.136391, 9.796216], [0.015455, -0.070000, -0.480612], [-313, -40, 382]]
DATA[14890, 0, [0,0,0], [-0.024740, 0.007789, -0.002749], [-8.000000, -16.000000, 1060.000000], [0.033500, -0.107677, 9.824930], [0.010909, -0.068182, -0.480612], [-316, -47, 363]]
DATA[15080, 0, [0,0,0], [-0.018631, 0.014050, -0.007636], [-32.000000, -12.000000, 1056.000000], [0.045464, -0.083749, 9.781859], [0.010909, -0.071818, -0.478571], [-309, -40, 369]]
DATA[15280, 0, [0,0,0], [-0.016188, 0.009927, -0.005651], [-8.000000, -28.000000, 1060.000000], [0.045464, -0.141177, 9.801002], [0.012727, -0.070000, -0.479592], [-301, -30, 370]]
DATA[15480, 0, [0,0,0], [-0.021228, 0.012217, -0.007636], [-28.000000, -16.000000, 1056.000000], [0.031107, -0.126820, 9.824930], [0.010000, -0.069091, -0.481633], [-304, -33, 368]]
DATA[15670, 0, [0,0,0], [-0.018937, 0.010690, -0.007330], [-8.000000, -28.000000, -4.000000], [0.052642, -0.131605, 9.781859], [0.013636, -0.074545, -0.478571], [-309, -37, 370]]
