
Thu Jan  1 00:00:43 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4140, 0, [0,0,0], [-0.007338, 0.021927, 0.058955], 10, [-0.098067, -0.117680, 10.355823], [-0.048902, -0.229881, 9.693798], [19.000000, 318.000000, -100.000000], [2.937300, 196.117599, -537.151184]]
DATA[4210, 0, [0,0,0], [-0.006269, 0.022996, 0.053915], 10, [-0.078453, -0.196133, -0.039227], [-0.048902, -0.239307, 9.712865], [19.000000, 320.000000, -100.000000], [0.000000, 190.113998, -531.023987]]
DATA[4260, 0, [0,0,0], [-0.039561, 0.022080, 0.056664], 10, [-0.078453, -0.215746, 10.355823], [-0.063313, -0.211030, 9.717631], [16.000000, 320.000000, -98.000000], [13.707400, 191.114594, -536.130005]]
DATA[4320, 0, [0,0,0], [-0.005505, 0.024523, 0.055289], 10, [-0.117680, -0.235360, -0.098067], [-0.056107, -0.225169, 9.717631], [15.000000, 318.000000, -101.000000], [1.958200, 189.113403, -533.066406]]
DATA[4380, 0, [0,0,0], [-0.003825, 0.026814, 0.061093], 10, [-0.078453, -0.137293, -0.019613], [-0.063313, -0.201604, 9.746232], [14.000000, 316.000000, -100.000000], [0.979100, 191.114594, -522.854370]]
DATA[4440, 0, [0,0,0], [-0.004589, -0.008921, 0.054068], 10, [-0.058840, -0.196133, -0.039227], [-0.056107, -0.277010, 9.770066], [13.000000, 318.000000, -98.000000], [7.832800, 188.112793, -537.151184]]
DATA[4500, 0, [0,0,0], [-0.036048, 0.023607, 0.058649], 10, [-0.137293, -0.156906, -0.019613], [-0.046500, -0.211030, 9.708098], [17.000000, 318.000000, -98.000000], [7.832800, 189.113403, -521.833191]]
DATA[4570, 0, [0,0,0], [-0.039561, 0.025898, 0.059566], 10, [-0.196133, -0.137293, -0.039227], [-0.046500, -0.192178, 9.727165], [11.000000, 319.000000, -102.000000], [3.916400, 182.109207, -542.257202]]
DATA[4620, 0, [0,0,0], [-0.004436, 0.021622, 0.058496], 10, [-0.039227, -0.196133, -0.019613], [-0.080125, -0.201604, 9.722398], [15.000000, 323.000000, -98.000000], [5.874600, 182.109207, -539.193604]]
DATA[4680, 0, [0,0,0], [-0.003825, 0.028341, 0.066438], 10, [-0.078453, -0.156906, 10.355823], [-0.036893, -0.258159, 9.727165], [8.000000, 321.000000, -98.000000], [9.791000, 194.116394, -539.193604]]
DATA[4750, 0, [0,0,0], [-0.003672, 0.024676, 0.054068], 10, [-0.078453, -0.117680, 10.355823], [-0.036893, -0.229881, 9.765299], [9.000000, 320.000000, -98.000000], [2.937300, 189.113403, -531.023987]]
DATA[4810, 0, [0,0,0], [-0.008407, 0.026356, 0.057580], 10, [-0.039227, -0.235360, 10.355823], [-0.056107, -0.244020, 9.741466], [18.000000, 318.000000, -102.000000], [1.958200, 191.114594, -527.960388]]
DATA[4870, 0, [0,0,0], [-0.005505, 0.021469, 0.058649], 10, [-0.078453, -0.137293, -0.078453], [-0.058509, -0.211030, 9.736699], [20.000000, 320.000000, -99.000000], [-2.937300, 195.117004, -532.045227]]
DATA[4930, 0, [0,0,0], [-0.005047, 0.025134, 0.062773], 10, [-0.137293, -0.254973, -0.058840], [-0.051304, -0.211030, 9.708098], [10.000000, 323.000000, -97.000000], [1.958200, 188.112793, -540.214783]]
DATA[4990, 0, [0,0,0], [-0.035132, 0.023607, 0.062314], 10, [-0.078453, -0.176520, -0.039227], [-0.068116, -0.192178, 9.717631], [7.000000, 321.000000, -95.000000], [-6.853700, 193.115799, -530.002808]]
DATA[5050, 0, [0,0,0], [-0.039408, 0.025745, 0.055900], 10, [-0.117680, -0.196133, 10.395049], [-0.039295, -0.206317, 9.722398], [9.000000, 320.000000, -96.000000], [4.895500, 189.113403, -522.854370]]
DATA[5110, 0, [0,0,0], [-0.002909, 0.024982, 0.055289], 10, [-0.058840, -0.215746, -0.039227], [-0.068116, -0.220456, 9.741466], [11.000000, 318.000000, -100.000000], [-3.916400, 191.114594, -530.002808]]
