
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3660, 0, [0,0,0], [-0.014057, 0.026051, 0.064911], 10, [-0.137293, -0.156906, -0.019613], [-0.070518, -0.253446, 9.736699], [54.000000, 325.000000, -96.000000], [47.975899, 183.109802, -527.960388]]
DATA[3720, 0, [0,0,0], [-0.007643, 0.019178, 0.061551], 10, [-0.176520, -0.274586, -0.039227], [-0.077723, -0.248733, 9.731933], [48.000000, 324.000000, -91.000000], [45.038601, 181.108597, -528.981628]]
DATA[3780, 0, [0,0,0], [-0.010697, 0.025287, 0.065674], 10, [-0.039227, -0.235360, -0.137293], [-0.068116, -0.248733, 9.712865], [57.000000, 325.000000, -91.000000], [49.934101, 181.108597, -537.151184]]
DATA[3850, 0, [0,0,0], [-0.011461, 0.024371, -0.007324], 10, [-0.176520, -0.274586, 10.355823], [-0.075322, -0.234594, 9.746232], [52.000000, 324.000000, -91.000000], [57.766899, 181.108597, -535.108826]]
DATA[3900, 0, [0,0,0], [-0.012377, 0.028494, 0.062773], 10, [-0.078453, -0.196133, -0.117680], [-0.065714, -0.211030, 9.727165], [52.000000, 320.000000, -92.000000], [52.871399, 176.105606, -527.960388]]
DATA[3960, 0, [0,0,0], [-0.006269, 0.025898, 0.061245], 10, [-0.117680, -0.196133, 10.395049], [-0.080125, -0.225169, 9.731933], [51.000000, 323.000000, -92.000000], [51.892300, 170.102005, -532.045227]]
DATA[4030, 0, [0,0,0], [-0.008865, 0.021622, 0.058955], 10, [-0.019613, -0.176520, -0.019613], [-0.070518, -0.201604, 9.722398], [51.000000, 321.000000, -93.000000], [52.871399, 176.105606, -531.023987]]
DATA[4080, 0, [0,0,0], [-0.004894, 0.023149, 0.063078], 10, [-0.058840, -0.215746, -0.137293], [-0.051304, -0.253446, 9.746232], [51.000000, 322.000000, -92.000000], [46.017700, 190.113998, -533.066406]]
DATA[4140, 0, [0,0,0], [-0.006421, 0.021775, 0.063689], 10, [-0.078453, -0.254973, -0.039227], [-0.104143, -0.220456, 9.722398], [49.000000, 323.000000, -91.000000], [62.662399, 183.109802, -538.172424]]
DATA[4200, 0, [0,0,0], [-0.013752, 0.022233, 0.061398], 10, [-0.137293, -0.235360, -0.019613], [-0.077723, -0.253446, 9.717631], [44.000000, 320.000000, -91.000000], [55.808701, 181.108597, -534.087585]]
