
Thu Jan  1 00:00:01 1970

Flight Log #1
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2180, 0, [0,0,0], [-0.007643, 0.018720, -0.005339], 14, [-0.019613, -0.039227, -0.058840], [-0.005670, -0.267584, 9.722398], [-170.000000, -140.000000, -19.000000], [-133.157593, -186.111603, -508.557587]]
DATA[2220, 0, [0,0,0], [-0.006727, 0.017957, -0.005033], 14, [-0.039227, 0.039227, -0.098067], [0.027956, -0.234594, 9.746232], [-173.000000, -134.000000, -21.000000], [-121.408401, -184.110397, -502.430389]]
DATA[2260, 0, [0,0,0], [-0.012988, 0.016124, -0.002132], 14, [-0.019613, 0.000000, -0.098067], [0.006339, -0.291149, 9.746232], [-170.000000, -137.000000, -20.000000], [-119.450203, -182.109207, -503.451599]]
DATA[2300, 0, [0,0,0], [-0.011766, 0.017651, -0.003812], 14, [-0.039227, -0.078453, 10.375436], [-0.000866, -0.225169, 9.731933], [-174.000000, -133.000000, -23.000000], [-118.471100, -184.110397, -500.388000]]
DATA[2350, 0, [0,0,0], [-0.010239, 0.020400, -0.002895], 14, [-0.098067, 0.000000, -0.058840], [-0.024884, -0.262872, 9.727165], [-171.000000, -137.000000, -19.000000], [-117.491997, -189.113403, -502.430389]]
DATA[2380, 0, [0,0,0], [-0.009781, 0.017651, -0.000757], 14, [-0.098067, -0.019613, -0.058840], [-0.010473, -0.258159, 9.746232], [-175.000000, -136.000000, -23.000000], [-120.429298, -184.110397, -494.260803]]
DATA[2430, 0, [0,0,0], [-0.010086, 0.022080, -0.005339], 14, [-0.039227, -0.019613, -0.098067], [0.042366, -0.267584, 9.741466], [-170.000000, -134.000000, -23.000000], [-123.366600, -190.113998, -500.388000]]
DATA[2470, 0, [0,0,0], [-0.008101, 0.016277, -0.003354], 14, [0.000000, 0.019613, -0.098067], [0.027956, -0.272297, 9.722398], [-170.000000, -137.000000, -20.000000], [-119.450203, -179.107407, -502.430389]]
DATA[2510, 0, [0,0,0], [-0.010239, 0.022080, -0.004270], 14, [-0.039227, 0.039227, 10.355823], [0.027956, -0.267584, 9.760532], [-174.000000, -133.000000, -23.000000], [-121.408401, -184.110397, -500.388000]]
DATA[2550, 0, [0,0,0], [-0.004894, 0.018262, -0.003048], 14, [-0.039227, -0.098067, -0.117680], [-0.022482, -0.225169, 9.746232], [-172.000000, -138.000000, -18.000000], [-123.366600, -182.109207, -503.451599]]
DATA[2590, 0, [0,0,0], [-0.011308, 0.022538, -0.007630], 14, [-0.019613, -0.039227, -0.039227], [0.001536, -0.258159, 9.727165], [-172.000000, -137.000000, -19.000000], [-121.408401, -184.110397, -501.409210]]
DATA[2640, 0, [0,0,0], [-0.009476, 0.019637, -0.002895], 14, [-0.098067, 0.019613, -0.098067], [0.013545, -0.244020, 9.746232], [-169.000000, -140.000000, -21.000000], [-117.491997, -185.110992, -504.472809]]
DATA[2670, 0, [0,0,0], [-0.004589, 0.021927, -0.006561], 14, [-0.039227, -0.039227, -0.039227], [0.003938, -0.295862, 9.712865], [-172.000000, -136.000000, -22.000000], [-114.554703, -182.109207, -501.409210]]
DATA[2720, 0, [0,0,0], [-0.009017, 0.019789, -0.002743], 14, [0.019613, -0.039227, -0.117680], [0.011143, -0.225169, 9.731933], [-169.000000, -136.000000, -23.000000], [-118.471100, -188.112793, -499.366791]]
DATA[2760, 0, [0,0,0], [-0.004589, 0.021622, -0.005644], 14, [-0.039227, 0.000000, -0.039227], [0.008741, -0.244020, 9.712865], [-170.000000, -136.000000, -20.000000], [-115.533798, -182.109207, -491.197205]]
DATA[2800, 0, [0,0,0], [-0.008254, 0.019637, -0.007935], 14, [-0.039227, -0.039227, -0.098067], [-0.003268, -0.272297, 9.746232], [-169.000000, -141.000000, -20.000000], [-116.512901, -181.108597, -498.345612]]
DATA[2840, 0, [0,0,0], [-0.006421, 0.021011, -0.003048], 14, [-0.019613, 0.039227, -0.117680], [0.011143, -0.295862, 9.770066], [-171.000000, -136.000000, -21.000000], [-122.387497, -180.108002, -498.345612]]
DATA[2880, 0, [0,0,0], [-0.009628, 0.021164, 0.000006], 14, [-0.137293, -0.019613, -0.058840], [0.018348, -0.295862, 9.722398], [-172.000000, -135.000000, -21.000000], [-123.366600, -184.110397, -495.282013]]
DATA[2930, 0, [0,0,0], [-0.010545, 0.021316, -0.003048], 14, [-0.098067, -0.058840, 10.355823], [-0.000866, -0.258159, 9.712865], [-168.000000, -138.000000, -21.000000], [-120.429298, -186.111603, -508.557587]]
