
Thu Jan  1 00:00:30 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3280, 0, [0,0,0], [0.284503, 0.005281, -1.122917], 14, [-1.137571, -0.039227, 11.356101], [-1.230584, -0.215743, 10.718658], [45.000000, 323.000000, -99.000000], [29.372999, 171.102600, -518.769592]]
DATA[3340, 0, [0,0,0], [-0.002909, 0.172658, -1.350312], 14, [-1.255251, -0.137293, -0.058840], [-0.899136, -0.130911, 9.021680], [33.000000, 337.000000, -92.000000], [24.477501, 181.108597, -525.918030]]
DATA[3410, 0, [0,0,0], [-0.004436, -0.378953, 0.004740], 14, [-0.274586, -0.627626, -0.117680], [-1.439540, -0.456100, 9.610379], [12.000000, 338.000000, -97.000000], [5.874600, 193.115799, -532.045227]]
DATA[3470, 0, [0,0,0], [0.354753, -0.454700, 0.003977], 14, [-0.098067, -0.117680, -0.156906], [-1.283423, 0.057604, 7.784696], [-14.000000, 337.000000, -98.000000], [-18.602900, 188.112793, -537.151184]]
DATA[3530, 0, [0,0,0], [0.468679, -0.525103, -0.636057], 14, [-0.039227, 1.647517, -0.156906], [-0.714198, 0.264971, 14.112617], [-49.000000, 308.000000, -110.000000], [-33.289398, 171.102600, -543.278381]]
DATA[3590, 0, [0,0,0], [-0.009476, -0.373761, -0.921790], 14, [-0.137293, 1.569064, 11.650301], [-0.807868, 0.806952, 7.853814], [-77.000000, 318.000000, -110.000000], [-59.725101, 171.102600, -544.299622]]
DATA[3650, 0, [0,0,0], [-0.016959, -0.004645, -0.003964], 14, [-0.078453, -0.039227, 7.884547], [-0.051304, 0.342733, 9.817735], [-95.000000, 334.000000, -99.000000], [-77.348900, 169.101395, -543.278381]]
DATA[3710, 0, [0,0,0], [1.687050, -0.532127, 0.005504], 14, [-0.608012, -0.156906, -0.058840], [-2.260952, 0.837586, 11.614817], [-115.000000, 297.000000, -112.000000], [-90.077202, 176.105606, -545.320801]]
DATA[3780, 0, [0,0,0], [-0.010545, -0.067259, -0.403470], 14, [-0.058840, -0.137293, -0.078453], [0.897404, 0.583090, 11.157204], [-135.000000, 272.000000, -117.000000], [-112.596497, 139.083405, -564.723572]]
DATA[3830, 0, [0,0,0], [-0.008407, 0.294679, -0.000605], 14, [-0.058840, -0.117680, -0.058840], [0.393028, 1.457329, 9.124166], [-137.000000, 268.000000, -123.000000], [-114.554703, 131.078598, -553.490417]]
DATA[3890, 0, [0,0,0], [-0.019402, 0.533832, 0.005962], 14, [-0.156906, -0.156906, 10.473502], [0.092804, 0.564239, 10.058457], [-127.000000, 268.000000, -126.000000], [-108.680099, 129.077393, -560.638794]]
DATA[3950, 0, [0,0,0], [-0.029023, -0.257391, -0.091471], 14, [-0.019613, 0.078453, 10.748089], [-0.457206, 0.288535, 10.044157], [-128.000000, 261.000000, -128.000000], [-107.700996, 118.070801, -560.638794]]
DATA[4010, 0, [0,0,0], [0.008850, -0.455311, -0.001216], 14, [-0.019613, -0.078453, 10.100849], [-0.481224, 0.279109, 10.153794], [-144.000000, -1.000000, -126.000000], [-124.345703, 128.076797, -556.554016]]
DATA[4070, 0, [0,0,0], [-0.144324, 0.002074, -0.099259], 14, [-0.058840, -0.117680, -0.019613], [0.035161, 0.521823, 8.485415], [-156.000000, 263.000000, -122.000000], [-129.241196, 127.076202, -549.405579]]
DATA[4130, 0, [0,0,0], [-0.260236, -0.001744, 0.008558], 14, [-0.568786, -0.235360, -0.058840], [0.001536, 0.333308, 9.996490], [-152.000000, 268.000000, -125.000000], [-122.387497, 130.078003, -562.681213]]
DATA[4190, 0, [0,0,0], [-0.138826, -0.211729, -0.004423], 14, [-0.117680, 0.941438, -0.156906], [-0.959181, 0.123584, 9.758149], [-151.000000, 281.000000, -116.000000], [-114.554703, 137.082199, -562.681213]]
DATA[4250, 0, [0,0,0], [-0.184030, 0.002532, -0.007782], 14, [-0.921825, -0.156906, -0.039227], [-0.598912, 0.090594, 9.102715], [-143.000000, 290.000000, -118.000000], [-121.408401, 150.089996, -546.341980]]
DATA[4320, 0, [0,0,0], [-0.416923, -0.003118, 0.005351], 14, [-0.156906, -0.608012, -0.058840], [0.109617, -0.621050, 9.455458], [-137.000000, 292.000000, -117.000000], [-111.617401, 156.093597, -556.554016]]
DATA[4380, 0, [0,0,0], [0.004574, 0.792381, 0.008100], 14, [-0.921825, -0.078453, -0.078453], [-0.634939, -0.847269, 9.286237], [-137.000000, 297.000000, -116.000000], [-112.596497, 157.094193, -547.363220]]
DATA[4440, 0, [0,0,0], [0.043670, 0.646232, -0.010989], 14, [-1.745584, -1.255251, -0.117680], [-0.954377, -0.630476, 10.284881], [-102.000000, 292.000000, -123.000000], [-84.202599, 154.092407, -562.681213]]
DATA[4500, 0, [0,0,0], [0.002284, 1.302759, 0.004282], 14, [-3.000835, -0.529559, -0.019613], [-3.079964, 0.057604, 9.536493], [-59.000000, 289.000000, -128.000000], [-50.913200, 156.093597, -552.469177]]
DATA[4560, 0, [0,0,0], [0.363458, 0.006198, 0.184335], 14, [-0.078453, -0.117680, -0.137293], [-2.039988, -0.463169, 9.362506], [-30.000000, 270.000000, -644.000000], [-25.456600, 135.080994, -562.681213]]
DATA[4620, 0, [0,0,0], [0.012363, 0.006350, 0.364387], 14, [-3.040061, -0.137293, 10.140077], [-2.861400, 0.253189, 9.638979], [2.000000, 266.000000, -646.000000], [-5.874600, 127.076202, -558.596375]]
DATA[4680, 0, [0,0,0], [0.249989, 0.491683, 0.212740], 14, [-2.706635, -0.176520, -0.156906], [-3.524295, 0.257902, 9.233802], [21.000000, 264.000000, -647.000000], [16.644699, 126.075600, -563.702393]]
DATA[4740, 0, [0,0,0], [0.167370, -0.007242, 0.005962], 14, [-5.021005, -0.117680, -0.117680], [-2.702882, 1.160418, 8.525932], [74.000000, -15.000000, -646.000000], [48.955002, 113.067802, -571.872009]]
DATA[4800, 0, [0,0,0], [0.054513, 0.008794, 0.000312], 14, [-0.058840, 0.686466, -0.039227], [-4.127145, 0.764536, 8.845308], [79.000000, -27.000000, -652.000000], [46.996799, 95.056999, -572.893188]]
DATA[4870, 0, [0,0,0], [-0.006116, -0.367194, -0.179436], 14, [-0.117680, 0.647239, 10.061623], [-3.281714, 0.444060, 9.412557], [63.000000, -17.000000, -649.000000], [45.038601, 102.061203, -573.914429]]
DATA[4920, 0, [0,0,0], [0.468527, -0.006478, 0.006420], 14, [-0.078453, 0.745305, -0.137293], [-2.599605, 0.467625, 9.748616], [76.000000, -18.000000, -650.000000], [46.017700, 120.071999, -573.914429]]
