
Thu Jan  1 00:00:01 1970

Flight Log #11
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2610, 0, [-0.028019,-0.009422,-2.215531], [0.013302, 0.019279, -0.016206], 14, [0.058840, -0.196133, -9.983170], [-0.101540, -0.297745, 9.712423], [27.000000, -1.000000, 588.000000], [-72.453400, -105.063004, -643.356018]]
DATA[2650, 0, [-0.028223,-0.009365,-2.276970], [0.011610, 0.019348, -0.015947], 14, [-0.019613, -0.058840, -9.943943], [-0.100620, -0.299261, 9.722163], [27.000000, -3.000000, 592.000000], [-81.265297, -104.062401, -656.631592]]
DATA[2700, 0, [-0.028415,-0.009509,-2.251820], [0.011176, 0.019827, -0.016896], 14, [-0.058840, -0.235360, -9.983170], [-0.111060, -0.297972, 9.722251], [28.000000, -1.000000, 592.000000], [-80.286201, -108.064796, -655.610413]]
DATA[2730, 0, [-0.028462,-0.009665,-2.238975], [0.013553, 0.019613, -0.015485], 14, [-0.039227, -0.235360, -10.002783], [-0.107548, -0.292759, 9.727029], [24.000000, -4.000000, 591.000000], [-77.348900, -107.064201, -655.610413]]
DATA[2780, 0, [-0.028744,-0.009807,-2.156920], [0.012922, 0.018575, -0.016717], 14, [0.019613, -0.254973, -0.137293], [-0.115362, -0.306522, 9.836036], [29.000000, -3.000000, 590.000000], [-69.516098, -114.068398, -654.589172]]
DATA[2810, 0, [-0.028914,-0.010187,-2.239683], [0.012732, 0.018367, -0.017074], 14, [0.039227, -0.274586, -0.039227], [-0.127414, -0.300481, 9.696884], [29.000000, -2.000000, 610.000000], [-73.432503, -102.061203, -641.313599]]
DATA[2850, 0, [-0.028990,-0.009796,-2.252455], [0.012406, 0.019098, -0.017355], 14, [-0.058840, -0.313813, -0.078453], [-0.090587, -0.298994, 9.816834], [-47.000000, -7.000000, 591.000000], [-76.369797, -103.061798, -640.292419]]
DATA[2890, 0, [-0.028959,-0.010124,-2.205171], [0.012058, 0.019027, -0.017519], 14, [-0.117680, -0.078453, -0.078453], [-0.130994, -0.299796, 9.660768], [18.000000, 9.000000, 589.000000], [-70.495201, -105.063004, -646.419617]]
DATA[2930, 0, [-0.030009,-0.011289,-2.273007], [0.011297, 0.020202, -0.017432], 14, [-0.156906, -0.039227, -0.117680], [-0.158265, -0.350836, 9.559423], [28.000000, 1.000000, 589.000000], [-80.286201, -105.063004, -654.589172]]
DATA[2970, 0, [-0.030359,-0.011117,-2.237478], [0.011078, 0.019661, -0.017669], 14, [-0.156906, -0.098067, -0.137293], [-0.086293, -0.302038, 9.716098], [27.000000, 2.000000, 588.000000], [-79.307098, -111.066597, -655.610413]]
DATA[3010, 0, [-0.030827,-0.011459,-2.213208], [0.012167, 0.019218, -0.017492], 14, [-0.156906, -0.274586, -9.904716], [-0.151855, -0.338691, 9.617635], [26.000000, 4.000000, 591.000000], [-80.286201, -118.070801, -658.674011]]
DATA[3050, 0, [-0.031315,-0.012169,-2.245516], [0.012220, 0.018852, -0.016502], 14, [-0.078453, -0.098067, -0.039227], [-0.142049, -0.327037, 9.649322], [30.000000, 3.000000, 590.000000], [-75.390701, -105.063004, -652.546814]]
DATA[3090, 0, [-0.031369,-0.012409,-2.215342], [0.013141, 0.019101, -0.018099], 14, [-0.058840, -0.019613, -10.042009], [-0.134820, -0.318440, 9.672051], [27.000000, 7.000000, 590.000000], [-71.474297, -106.063599, -649.483215]]
DATA[3130, 0, [-0.031135,-0.012323,-2.295932], [0.012290, 0.018808, -0.017627], 14, [0.019613, -0.215746, -0.019613], [-0.124334, -0.308295, 9.691032], [27.000000, 2.000000, 592.000000], [-79.307098, -100.059998, -637.228821]]
