
Thu Jan  1 00:00:01 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2930, 0, [-0.003016,-0.018753,-2.024658], [0.018945, 0.020301, -0.020360], 13, [0.117680, -0.058840, -0.098067], [-0.149161, -0.028292, 9.733849], [5.000000, -59.000000, 596.000000], [-72.453400, -161.096603, -645.398376]]
DATA[2970, 0, [-0.002679,-0.018107,-2.029058], [0.019268, 0.020852, -0.021273], 13, [0.039227, 0.000000, -10.042009], [-0.191230, -0.039159, 9.711330], [3.000000, -58.000000, 594.000000], [-75.390701, -165.098999, -653.567993]]
DATA[3010, 0, [-0.002788,-0.018440,-2.024311], [0.017839, 0.020467, -0.020338], 13, [0.078453, -0.039227, -9.983170], [-0.208520, -0.053090, 9.722698], [9.000000, -40.000000, 591.000000], [-70.495201, -157.094193, -652.546814]]
DATA[3050, 0, [-0.003128,-0.018856,-2.061930], [0.018300, 0.019238, -0.020420], 13, [0.117680, -0.058840, -9.983170], [-0.209901, -0.058337, 9.727148], [7.000000, -53.000000, 594.000000], [-73.432503, -150.089996, -654.589172]]
DATA[3090, 0, [-0.003473,-0.019177,-2.028423], [0.017826, 0.018686, -0.021210], 13, [0.078453, 0.039227, -10.042009], [-0.212059, -0.059570, 9.724788], [8.000000, -54.000000, 595.000000], [-70.495201, -156.093597, -648.461975]]
DATA[3130, 0, [-0.003693,-0.019604,-2.070178], [0.016999, 0.018436, -0.020782], 13, [-0.019613, -0.058840, -9.983170], [-0.219725, -0.056788, 9.724030], [9.000000, -51.000000, 593.000000], [-77.348900, -155.093002, -650.504395]]
DATA[3170, 0, [-0.004027,-0.019951,-2.048667], [0.017111, 0.018385, -0.020600], 13, [0.098067, -0.058840, -0.019613], [-0.217347, -0.068332, 9.731068], [8.000000, -57.000000, 590.000000], [-74.411598, -157.094193, -642.334778]]
DATA[3210, 0, [-0.004394,-0.020230,-2.028285], [0.017908, 0.017772, -0.020029], 13, [0.019613, -0.058840, -10.022396], [-0.221383, -0.067677, 9.732630], [5.000000, -66.000000, 597.000000], [-73.432503, -163.097794, -655.610413]]
DATA[3250, 0, [-0.004581,-0.020517,-2.042482], [0.017762, 0.018570, -0.020355], 13, [0.098067, 0.019613, -10.022396], [-0.223042, -0.064461, 9.732409], [3.000000, -63.000000, 594.000000], [-73.432503, -158.094803, -655.610413]]
DATA[3290, 0, [-0.004583,-0.020646,-2.007704], [0.017127, 0.019150, -0.019954], 13, [0.039227, -0.019613, -10.022396], [-0.217329, -0.059381, 9.721679], [4.000000, -56.000000, 592.000000], [-68.537003, -161.096603, -660.716370]]
