
Thu Jan  1 00:00:01 1970

Flight Log #22
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2950, 0, [-0.003981,-0.008032,-2.518400],[0.000000,0.000000,0.000000], [-0.000233, 0.014148, -0.007796], 17, [-0.039227, 0.058840, -9.963556], [-0.054309, -0.097048, 9.744175], [93.000000, 46.000000, 584.000000], [-121.408401, -90.054001, -615.783630],[0.000041,0.000120,-0.000041,-0.000120]]
DATA[3030, 0, [0.005472,-0.004674,-2.530090],[0.000000,0.000000,0.000000], [0.000136, 0.017744, -0.008837], 17, [-0.254973, 0.000000, -9.924330], [0.173841, -0.016121, 9.790087], [94.000000, 26.000000, 564.000000], [-128.262100, -86.051598, -619.868408],[0.000101,-0.000008,-0.000101,0.000008]]
DATA[3110, 0, [0.009308,-0.002300,-2.490218],[0.000000,0.000000,0.000000], [0.002894, 0.012852, -0.007898], 17, [-0.313813, -0.098067, -10.042009], [0.153140, 0.007662, 9.759142], [90.000000, 40.000000, 560.000000], [-128.262100, -80.047997, -591.274780],[0.000116,-0.000070,-0.000116,0.000070]]
DATA[3180, 0, [0.010601,-0.001961,-2.519818],[0.000000,0.000000,0.000000], [0.005511, 0.009635, -0.004466], 17, [-0.156906, -0.117680, -10.042009], [0.085480, -0.045788, 9.746614], [90.000000, 45.000000, 561.000000], [-126.303902, -83.049797, -613.741211],[0.000125,-0.000090,-0.000125,0.000090]]
DATA[3250, 0, [0.007610,-0.002260,-2.554496],[0.000000,0.000000,0.000000], [0.002368, 0.011819, -0.007513], 17, [-0.078453, 0.000000, -10.042009], [0.016604, -0.033363, 9.742235], [90.000000, 43.000000, 562.000000], [-128.262100, -80.047997, -610.677612],[0.000099,-0.000053,-0.000099,0.000053]]
DATA[3330, 0, [0.003993,-0.003027,-2.550278],[0.000000,0.000000,0.000000], [-0.006325, 0.012958, -0.008012], 17, [-0.117680, -0.156906, -0.019613], [-0.002583, -0.068757, 9.718918], [91.000000, 49.000000, 560.000000], [-130.220306, -78.046799, -603.529175],[0.000070,-0.000010,-0.000070,0.000010]]
DATA[3400, 0, [0.000986,-0.004454,-2.560095],[0.000000,0.000000,0.000000], [0.002646, 0.017624, -0.006844], 17, [-0.137293, -0.039227, -10.022396], [-0.026102, -0.065594, 9.722448], [89.000000, 46.000000, 563.000000], [-124.345703, -81.048599, -612.719971],[0.000054,0.000035,-0.000054,-0.000035]]
DATA[3470, 0, [-0.001114,-0.004748,-2.547769],[0.000000,0.000000,0.000000], [-0.002547, 0.020536, -0.007931], 17, [-0.098067, -0.078453, -10.002783], [-0.036260, -0.066366, 9.734585], [90.000000, 42.000000, 560.000000], [-123.366600, -84.050400, -604.550415],[0.000036,0.000059,-0.000036,-0.000059]]
DATA[3550, 0, [-0.002435,-0.005407,-2.636271],[0.000000,0.000000,0.000000], [-0.002561, 0.016457, -0.006821], 17, [-0.117680, -0.156906, -10.022396], [-0.034665, -0.083536, 9.720916], [91.000000, 47.000000, 560.000000], [-132.178497, -73.043800, -595.359619],[0.000030,0.000078,-0.000030,-0.000078]]
DATA[3620, 0, [-0.002846,-0.006073,-2.603596],[0.000000,0.000000,0.000000], [0.002577, 0.016157, -0.007357], 17, [-0.058840, -0.078453, -0.039227], [-0.028835, -0.076906, 9.733403], [90.000000, 38.000000, 558.000000], [-129.241196, -79.047401, -601.486816],[0.000032,0.000089,-0.000032,-0.000089]]
DATA[3690, 0, [-0.002751,-0.006267,-2.598780],[0.000000,0.000000,0.000000], [-0.004118, 0.015007, -0.008309], 17, [-0.098067, -0.098067, -10.022396], [-0.015757, -0.070767, 9.741343], [92.000000, 47.000000, 561.000000], [-126.303902, -78.046799, -598.423218],[0.000035,0.000090,-0.000035,-0.000090]]
DATA[3770, 0, [-0.002961,-0.007424,-2.613097],[0.000000,0.000000,0.000000], [-0.002804, 0.012562, -0.007899], 17, [-0.176520, -0.117680, -0.078453], [-0.027144, -0.102725, 9.732499], [90.000000, 44.000000, 562.000000], [-123.366600, -74.044403, -608.635193],[0.000045,0.000104,-0.000045,-0.000104]]
DATA[3840, 0, [-0.002390,-0.008092,-2.675919],[0.000000,0.000000,0.000000], [-0.001876, 0.016331, -0.007025], 17, [-0.156906, -0.098067, -9.983170], [-0.017557, -0.093734, 9.720817], [91.000000, 42.000000, 559.000000], [-132.178497, -68.040802, -611.698792],[0.000057,0.000105,-0.000057,-0.000105]]
DATA[3910, 0, [-0.002708,-0.007900,-2.611910],[0.000000,0.000000,0.000000], [-0.003852, 0.014221, -0.006716], 17, [-0.098067, -0.039227, -0.039227], [-0.025803, -0.087990, 9.717827], [88.000000, 40.000000, 562.000000], [-123.366600, -74.044403, -599.444397],[0.000052,0.000106,-0.000052,-0.000106]]
DATA[3990, 0, [-0.002515,-0.007441,-2.599270],[0.000000,0.000000,0.000000], [-0.002691, 0.020607, -0.007972], 17, [-0.156906, -0.117680, -10.022396], [-0.021429, -0.086963, 9.720327], [91.000000, 42.000000, 559.000000], [-123.366600, -76.045601, -605.571594],[0.000050,0.000100,-0.000050,-0.000100]]
DATA[4070, 0, [-0.002466,-0.007361,-2.568436],[0.000000,0.000000,0.000000], [-0.002285, 0.018434, -0.008081], 17, [-0.117680, -0.117680, -0.078453], [-0.021640, -0.087467, 9.728667], [93.000000, 46.000000, 564.000000], [-121.408401, -80.047997, -607.614014],[0.000049,0.000098,-0.000049,-0.000098]]
DATA[4150, 0, [-0.002615,-0.007355,-2.585568],[0.000000,0.000000,0.000000], [-0.004511, 0.017384, -0.007049], 17, [-0.156906, -0.137293, -10.042009], [-0.026561, -0.087772, 9.734388], [91.000000, 40.000000, 559.000000], [-124.345703, -79.047401, -603.529175],[0.000047,0.000100,-0.000047,-0.000100]]
DATA[4210, 0, [-0.001941,-0.007453,-2.587696],[0.000000,0.000000,0.000000], [-0.002868, 0.016812, -0.006065], 17, [-0.137293, -0.019613, -9.983170], [0.001609, -0.086044, 9.742383], [90.000000, 39.000000, 560.000000], [-127.282997, -80.047997, -606.592773],[0.000055,0.000094,-0.000055,-0.000094]]
DATA[4290, 0, [-0.001838,-0.007393,-2.604020],[0.000000,0.000000,0.000000], [-0.001944, 0.018689, -0.007004], 17, [-0.039227, -0.137293, -9.943943], [-0.019542, -0.087809, 9.740707], [90.000000, 42.000000, 559.000000], [-132.178497, -80.047997, -604.550415],[0.000056,0.000092,-0.000056,-0.000092]]
