
Thu Jan  1 00:15:54 1970

Flight Log #10
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3070, 0, [0,0,0], [0.004734, 0.015119, 0.010690], [-9.728197, -0.117680, 1.667130], [-9.516255, 0.090927, 1.617548], [-1.000000, -221.000000, -150.000000], [481, -230, 738]]
DATA[3120, 0, [0,0,0], [-0.002138, 0.004734, -0.018479], [-9.669357, -0.117680, -0.156906], [-9.494720, 0.076570, 1.607977], [-2.000000, -223.000000, -151.000000], [477, -225, 747]]
DATA[3170, 0, [0,0,0], [-0.002596, 0.011301, 0.019242], [-9.649744, -0.156906, 1.667130], [-9.506684, 0.076570, 1.598405], [513.000000, -220.000000, -153.000000], [472, -231, 742]]
DATA[3230, 0, [0,0,0], [-0.003818, 0.015119, 0.016952], [-9.630131, -0.117680, 1.686744], [-9.499506, 0.052642, 1.617548], [-2.000000, -221.000000, -153.000000], [472, -234, 741]]
DATA[3280, 0, [0,0,0], [0.001222, 0.014508, 0.017410], [-9.630131, -0.098067, -0.117680], [-9.485149, 0.081356, 1.603191], [512.000000, -221.000000, -150.000000], [472, -226, 739]]
DATA[3330, 0, [0,0,0], [-0.000916, 0.005651, 0.018784], [-9.610518, -0.137293, 1.647517], [-9.506684, 0.078963, 1.607977], [-2.000000, -222.000000, -156.000000], [472, -231, 734]]
DATA[3390, 0, [0,0,0], [0.003054, 0.012981, 0.018326], [-9.669357, -0.156906, 1.627904], [-9.477970, 0.076570, 1.607977], [512.000000, -220.000000, -153.000000], [467, -236, 746]]
DATA[3440, 0, [0,0,0], [-0.000305, 0.012370, 0.018784], [-9.669357, -0.117680, 1.627904], [-9.494720, 0.066999, 1.588834], [-1.000000, -217.000000, -151.000000], [470, -236, 738]]
DATA[3500, 0, [0,0,0], [0.001222, 0.010079, 0.016341], [-9.590904, -0.137293, -0.137293], [-9.463614, 0.076570, 1.593620], [515.000000, -220.000000, -155.000000], [479, -232, 745]]
DATA[3550, 0, [0,0,0], [-0.003207, 0.008858, 0.019242], [-9.590904, -0.215746, -0.137293], [-9.521041, 0.028714, 1.617548], [-2.000000, -222.000000, -157.000000], [470, -241, 741]]
DATA[3600, 0, [0,0,0], [-0.000916, 0.013744, 0.018326], [-9.669357, -0.235360, 1.647517], [-9.511470, 0.090927, 1.617548], [-2.000000, -221.000000, -152.000000], [470, -235, 747]]
DATA[3660, 0, [0,0,0], [-0.000305, 0.008094, 0.017868], [-9.688971, -0.117680, 1.706357], [-9.509077, 0.062213, 1.607977], [-2.000000, -221.000000, -150.000000], [477, -234, 747]]
DATA[3710, 0, [0,0,0], [0.002596, 0.009774, 0.018631], [-9.688971, -0.176520, -0.039227], [-9.506684, 0.047856, 1.627119], [-1.000000, -219.000000, -158.000000], [470, -232, 743]]
DATA[3770, 0, [0,0,0], [-0.001069, 0.014508, -0.017410], [-9.649744, -0.078453, -0.137293], [-9.489935, 0.071785, 1.631905], [-2.000000, -221.000000, -153.000000], [482, -237, 742]]
DATA[3830, 0, [0,0,0], [-0.002749, 0.011301, -0.018326], [-9.708584, -0.098067, 1.608291], [-9.516255, 0.086142, 1.603191], [513.000000, -221.000000, -152.000000], [477, -231, 747]]
DATA[3880, 0, [0,0,0], [0.001833, 0.011148, -0.018631], [-9.708584, -0.137293, 1.667130], [-9.504292, 0.081356, 1.622334], [-2.000000, -223.000000, -152.000000], [475, -235, 738]]
DATA[3930, 0, [0,0,0], [-0.003971, 0.007789, 0.018937], [-9.728197, -0.156906, -0.117680], [-9.473185, 0.081356, 1.612762], [512.000000, -223.000000, -154.000000], [475, -239, 739]]
DATA[3990, 0, [0,0,0], [-0.006567, 0.013592, 0.015577], [-9.649744, -0.215746, -0.156906], [-9.511470, 0.066999, 1.593620], [-2.000000, -217.000000, -154.000000], [472, -232, 737]]
DATA[4040, 0, [0,0,0], [0.000000, 0.013134, 0.017562], [-9.669357, -0.176520, 1.686744], [-9.494720, 0.071785, 1.603191], [-2.000000, -219.000000, -152.000000], [480, -223, 738]]
DATA[4090, 0, [0,0,0], [-0.003971, 0.012370, 0.018326], [-9.649744, -0.196133, -0.156906], [-9.506684, 0.062213, 1.617548], [512.000000, -220.000000, -155.000000], [480, -236, 736]]
DATA[4150, 0, [0,0,0], [0.001680, 0.009163, 0.019395], [-9.669357, -0.215746, -0.137293], [-9.506684, 0.090927, 1.598405], [512.000000, -217.000000, -156.000000], [481, -232, 744]]
DATA[4200, 0, [0,0,0], [0.001985, 0.010232, 0.014813], [-9.688971, -0.156906, 1.667130], [-9.504292, 0.057428, 1.607977], [-2.000000, -222.000000, -152.000000], [478, -236, 733]]
DATA[4260, 0, [0,0,0], [-0.005803, 0.008858, -0.019090], [-9.649744, -0.156906, -0.098067], [-9.530613, 0.066999, 1.598405], [-3.000000, -221.000000, -151.000000], [480, -234, 749]]
DATA[4310, 0, [0,0,0], [-0.001833, 0.011759, 0.017562], [-9.669357, -0.137293, 1.706357], [-9.523434, 0.066999, 1.617548], [-2.000000, -221.000000, -155.000000], [480, -230, 742]]
DATA[4370, 0, [0,0,0], [-0.000458, 0.007636, 0.018173], [-9.708584, -0.117680, 1.667130], [-9.511470, 0.090927, 1.607977], [-1.000000, -218.000000, -155.000000], [474, -229, 734]]
DATA[4430, 0, [0,0,0], [-0.005192, 0.009621, -0.019242], [-0.078453, -0.196133, 1.667130], [-9.509077, 0.066999, 1.622334], [-1.000000, -221.000000, -151.000000], [477, -227, 744]]
DATA[4480, 0, [0,0,0], [0.000000, 0.017715, -0.014661], [-9.669357, -0.117680, 1.686744], [-9.477970, 0.086142, 1.607977], [-5.000000, -219.000000, -151.000000], [477, -231, 740]]
DATA[4530, 0, [0,0,0], [-0.002596, 0.009468, 0.016035], [-9.688971, -0.176520, 1.922103], [-9.513863, 0.057428, 1.607977], [-2.000000, -222.000000, -153.000000], [479, -232, 744]]
DATA[4590, 0, [0,0,0], [0.001222, 0.008858, 0.012981], [-0.039227, -0.098067, 1.706357], [-9.511470, 0.043071, 1.617548], [512.000000, -221.000000, -154.000000], [481, -235, 739]]
DATA[4640, 0, [0,0,0], [0.000000, 0.007025, 0.017868], [-9.610518, -0.156906, 1.569064], [-9.501899, 0.057428, 1.593620], [-1.000000, -223.000000, -150.000000], [481, -227, 744]]
DATA[4690, 0, [0,0,0], [0.002443, 0.010537, 0.015577], [-0.137293, -0.215746, -0.098067], [-9.506684, 0.066999, 1.612762], [-3.000000, -223.000000, -151.000000], [476, -233, 739]]
DATA[4750, 0, [0,0,0], [0.001374, 0.015119, 0.018784], [-9.728197, -0.176520, -0.117680], [-9.492328, 0.066999, 1.593620], [-1.000000, -218.000000, -155.000000], [481, -232, 740]]
