
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2140, 0, [0,0,0], [-0.140804, -0.018326, -0.019548], [-0.608012, -1.216025, 10.179303], [0.253639, -1.040878, 9.705289], [290.000000, 56.000000, -666.000000], [237, -34, 260]]
DATA[2190, 0, [0,0,0], [-0.034056, -0.012828, -0.009927], [-0.549172, -0.039227, -0.117680], [0.093320, -1.074377, 9.664611], [293.000000, 59.000000, -667.000000], [233, -30, 259]]
DATA[2230, 0, [0,0,0], [0.015272, 0.016646, -0.004581], [-0.294199, -0.039227, 10.395049], [-0.313460, -0.990629, 9.717253], [295.000000, 58.000000, -665.000000], [231, -32, 253]]
DATA[2280, 0, [0,0,0], [0.001680, 0.009316, -0.016341], [-0.627626, -1.196411, -0.039227], [-0.157926, -0.921237, 9.781859], [294.000000, 54.000000, -667.000000], [236, -32, 262]]
DATA[2320, 0, [0,0,0], [0.051771, -0.006261, -0.001680], [-0.529559, -1.117958, -0.019613], [-0.066999, -0.851845, 9.949356], [297.000000, 53.000000, -667.000000], [235, -24, 254]]
DATA[2360, 0, [0,0,0], [-0.005345, -0.002596, -0.016952], [-0.156906, -0.137293, 10.140077], [-0.038285, -0.995414, 9.597611], [295.000000, 44.000000, -668.000000], [232, -31, 258]]
DATA[2400, 0, [0,0,0], [0.209221, -0.022602, 0.082314], [-0.117680, -0.608012, -0.078453], [0.021535, -0.784846, 9.930214], [295.000000, 44.000000, -668.000000], [232, -43, 258]]
DATA[2440, 0, [0,0,0], [-0.006109, -0.024282, 0.240223], [-0.078453, -0.137293, -0.137293], [0.014357, -0.545564, 9.705289], [294.000000, 30.000000, -669.000000], [228, -51, 262]]
DATA[2480, 0, [0,0,0], [0.244346, -0.008247, 0.275348], [-0.117680, -0.078453, 10.140077], [-0.258425, -0.710668, 9.772287], [295.000000, 21.000000, -670.000000], [231, -54, 266]]
DATA[2530, 0, [0,0,0], [-0.014966, 0.011606, -0.007483], [-0.039227, -0.313813, -0.039227], [0.069392, -0.284746, 9.781859], [292.000000, 6.000000, -667.000000], [229, -68, 265]]
DATA[2570, 0, [0,0,0], [0.243583, -0.010690, -0.003207], [-0.235360, -0.215746, 10.355823], [-0.181855, -0.344566, 9.980463], [291.000000, -9.000000, -669.000000], [232, -76, 256]]
DATA[2610, 0, [0,0,0], [-0.008247, -0.006720, 0.510531], [-0.156906, -0.156906, 10.120462], [0.277567, -0.059821, 9.542577], [292.000000, -16.000000, -666.000000], [230, -81, 261]]
DATA[2660, 0, [0,0,0], [-0.016188, -0.003360, -0.005651], [-0.137293, 0.117680, -0.078453], [0.045464, 0.160319, 10.064212], [289.000000, -36.000000, -668.000000], [218, -94, 266]]
DATA[2700, 0, [0,0,0], [0.198531, 0.048411, -0.009774], [-0.078453, -0.078453, 10.689249], [-0.057428, 0.107677, 9.693324], [288.000000, -46.000000, -665.000000], [227, -103, 264]]
DATA[2760, 0, [0,0,0], [-0.003360, 0.057879, 0.508240], [-0.313813, 0.333426, 10.493115], [0.052642, 0.361316, 9.930214], [287.000000, -66.000000, -663.000000], [231, -114, 272]]
DATA[2800, 0, [0,0,0], [-0.008705, -0.013592, -0.005803], [-0.156906, -0.117680, -0.156906], [-0.263211, -0.107677, 9.896714], [284.000000, -73.000000, -663.000000], [218, -113, 267]]
DATA[2840, 0, [0,0,0], [-0.005651, 0.018937, -0.017715], [-0.156906, -0.117680, 10.453889], [-0.363709, -0.023928, 9.815358], [277.000000, -84.000000, -664.000000], [217, -111, 270]]
DATA[2880, 0, [0,0,0], [-0.028405, 0.083536, 0.789543], [-0.490333, -0.058840, 10.395049], [0.076570, 0.220140, 9.810573], [276.000000, -90.000000, -663.000000], [208, -114, 272]]
DATA[2930, 0, [0,0,0], [-0.109192, 0.156687, 0.908051], [-0.529559, -0.058840, 10.493115], [-0.174676, 0.210568, 9.762716], [272.000000, -99.000000, -665.000000], [208, -122, 277]]
DATA[2970, 0, [0,0,0], [-0.015577, 0.119119, -0.000458], [-0.039227, -0.156906, 10.414662], [0.141177, 0.162712, 9.827323], [270.000000, -108.000000, -663.000000], [211, -131, 270]]
DATA[3020, 0, [0,0,0], [-0.011759, -0.017410, -0.012065], [-0.098067, 0.117680, 10.414662], [-0.323031, 0.150748, 9.793823], [262.000000, -120.000000, -661.000000], [207, -139, 284]]
DATA[3060, 0, [0,0,0], [-0.017562, 0.136376, -0.008247], [-0.254973, -0.215746, 10.081236], [-0.239282, 0.000000, 9.791430], [260.000000, -129.000000, -663.000000], [204, -139, 275]]
